order,target,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
52,52,25-02-27 2132,UNIT_YARD_MOVE,LOAD,EXPRT,MSCU3592759,Y-TSCT-2A2502.1,2A2502.1,Y-TSCT-Q03,2AA25,R322,T-TJC97237-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,26760,V-AILK_009-510502,2A,25,2,1,V-AILK_009,51,5,2,7
53,53,25-02-27 2134,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6173156,Y-TSCT-2A2504.4,2A2504.4,Y-TSCT-Q03,2AA25,R322,T-TJC57961-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,26700,V-AILK_009-490102,2A,25,4,4,V-AILK_009,49,1,2,7
54,54,25-02-27 2136,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU2973224,Y-TSCT-2A2503.4,2A2503.4,Y-TSCT-Q03,2AA25,R322,T-TJC85787-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,27924,V-AILK_009-510102,2A,25,3,4,V-AILK_009,51,1,2,7
55,55,25-02-27 2138,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3711565,Y-TSCT-2A2508.5,2A2508.5,Y-TSCT-Q03,2AA25,R322,T-TJCC5335-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,29200,V-AILK_009-490202,2A,25,8,5,V-AILK_009,49,2,2,7
56,56,25-02-27 2140,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3711293,Y-TSCT-2A2508.4,2A2508.4,Y-TSCT-Q03,2AA25,R322,T-TJCJ2820-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,27160,V-AILK_009-510202,2A,25,8,4,V-AILK_009,51,2,2,7
57,57,25-02-27 2141,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3676994,Y-TSCT-2A2508.3,2A2508.3,Y-TSCT-Q03,2AA25,R322,T-TJCF1997-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,27160,V-AILK_009-490602,2A,25,8,3,V-AILK_009,49,6,2,7
58,58,25-02-27 2143,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU2764972,Y-TSCT-2A2508.2,2A2508.2,Y-TSCT-Q03,2AA25,R322,T-TJC85150-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,26260,V-AILK_009-510602,2A,25,8,2,V-AILK_009,51,6,2,7
59,59,25-02-27 2149,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU7628384,Y-TSCT-2A2508.1,2A2508.1,Y-TSCT-Q03,2AA25,R322,T-TJCB3797-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,26260,V-AILK_009-491002,2A,25,8,1,V-AILK_009,49,10,2,7
60,60,25-02-27 2151,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU1868749,Y-TSCT-2A2507.5,2A2507.5,Y-TSCT-Q03,2AA25,R322,T-TJCK2003-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,27654,V-AILK_009-511002,2A,25,7,5,V-AILK_009,51,10,2,7
61,61,25-02-27 2203,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3711945,Y-TSCT-2A2504.3,2A2504.3,Y-TSCT-Q03,2AA25,R322,T-TJC91509-2 (TQ),AILK_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,25978,V-AILK_009-490704,2A,25,4,3,V-AILK_009,49,7,4,7
